Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
J U L Y,6,Ant-Man and the Wasp,Marvel Studios,"Peyton Reed (director); Chris McKenna, Erik Sommers, Paul Rudd, Andrew Barrer, Gabriel Ferrari (screenplay); Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian, T.I., Judy Greer, Bobby Cannavale, Randall Park, Abby Ryder Fortson, Michelle Pfeiffer, Laurence Fishburne, Michael Douglas",[116],Action Adventure Science Fiction
J U L Y,6,Sorry to Bother You,Annapurna Pictures,"Boots Riley (director/screenplay); LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick, Terry Crews, Patton Oswalt, David Cross, Danny Glover, Steven Yeun, Armie Hammer",[117],Fantasy Science Fiction Comedy
J U L Y,6,Whitney,Roadside Attractions / Miramax,Kevin Macdonald (director/screenplay); Whitney Houston,[118],Music Documentary
J U L Y,13,Hotel Transylvania 3: Summer Vacation,Sony Pictures Animation / MRC,"Genndy Tartakovsky (director/screenplay[119]); Michael McCullers (screenplay); Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, David Spade, Steve Buscemi, Keegan-Michael Key, Molly Shannon, Fran Drescher, Kathryn Hahn, Jim Gaffigan, Mel Brooks",[120],Animation Comedy Family Fantasy
J U L Y,13,Skyscraper,Universal Pictures / Legendary Pictures,"Rawson Marshall Thurber (director/screenplay); Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller, Noah Taylor, Byron Mann, Pablo Schreiber, Hannah Quinlivan",[121],Action Thriller Adventure
J U L Y,13,Eighth Grade,A24,"Bo Burnham (director/screenplay); Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan, Fred Hechinger",[122],Comedy Drama
J U L Y,13,"Don't Worry, He Won't Get Far on Foot",Amazon Studios,"Gus Van Sant (director/screenplay); Joaquin Phoenix, Jonah Hill, Rooney Mara, Jack Black",[123],Comedy Drama
J U L Y,13,Shock and Awe,Vertical Entertainment,"Rob Reiner (director); Joey Hartstone (screenplay); Woody Harrelson, James Marsden, Rob Reiner, Jessica Biel, Milla Jovovich, Tommy Lee Jones",[124],History Drama Thriller
J U L Y,20,Mamma Mia! Here We Go Again,Universal Pictures / Legendary Pictures / Perfect World Pictures / Playtone,"Ol Parker (director/screenplay); Christine Baranski, Pierce Brosnan, Dominic Cooper, Colin Firth, Andy García, Lily James, Amanda Seyfried, Stellan Skarsgård, Julie Walters, Cher, Meryl Streep",[125],Comedy Romance
J U L Y,20,The Equalizer 2,Columbia Pictures / Escape Artists,"Antoine Fuqua (director); Richard Wenk (screenplay); Denzel Washington, Pedro Pascal, Ashton Sanders, Bill Pullman, Melissa Leo",[126],Action Thriller Crime
